time,temp *C,humidity %
865.21,24.58,50.89
866.25,24.57,50.92
867.30,24.58,50.96
868.34,24.60,50.99
869.38,24.57,51.01
870.43,24.58,51.06
871.47,24.58,51.06
872.52,24.60,51.12
873.56,24.56,51.07
874.60,24.57,51.16
875.65,24.58,51.20
876.69,24.58,51.23
877.73,24.56,51.28
878.78,24.58,51.28
879.82,24.58,51.31
880.86,24.58,51.36
881.91,24.57,51.37
882.95,24.60,51.39
883.99,24.58,51.42
885.04,24.58,51.46
886.08,24.58,51.46
887.13,24.60,51.53
888.17,24.58,51.56
889.21,24.63,51.59
890.26,24.60,51.63
891.30,24.61,51.66
892.34,24.61,51.70
893.39,24.61,51.78
894.43,24.61,51.75
895.47,24.63,51.83
896.52,24.60,51.86
897.56,24.60,51.87
898.61,24.60,51.88
899.65,24.63,51.95
900.69,24.60,51.98
901.74,24.60,52.02
902.78,24.61,52.01
903.82,24.60,52.10
904.87,24.61,52.13
905.91,24.60,52.12
906.95,24.58,52.15
908.00,24.61,52.19
909.04,24.61,52.22
910.09,24.60,52.23
911.13,24.60,52.27
912.17,24.61,52.29
913.22,24.63,52.33
914.26,24.60,52.37
915.30,24.61,52.39
916.35,24.63,52.43
917.39,24.63,52.44
918.43,24.63,52.49
919.48,24.60,52.52
920.52,24.61,52.56
921.57,24.63,52.59
922.61,24.63,52.58
923.65,24.65,52.64
924.70,24.64,52.69
925.74,24.64,52.66
926.78,24.63,52.76
927.83,24.63,52.74
928.87,24.63,52.76
929.91,24.64,52.80
930.96,24.65,52.83
932.00,24.64,52.86
933.05,24.64,52.90
934.09,24.63,52.92
935.13,24.67,52.98
936.18,24.64,52.98
937.22,24.61,53.01
938.26,24.61,53.01
939.31,24.64,53.06
940.35,24.64,53.07
941.39,24.65,53.11
942.44,24.64,53.17
943.48,24.64,53.20
944.52,24.65,53.22
945.57,24.64,53.23
946.61,24.64,53.25
947.66,24.64,53.28
948.70,24.67,53.35
949.74,24.67,53.36
950.79,24.67,53.41
951.83,24.68,53.43
952.87,24.67,53.47
953.92,24.65,53.49
954.96,24.68,53.51
956.00,24.68,53.56
957.05,24.65,53.54
958.09,24.68,53.57
959.14,24.67,53.59
960.18,24.67,53.66
961.22,24.68,53.68
962.27,24.67,53.70
963.31,24.67,53.73
964.35,24.69,53.79
965.40,24.68,53.79
966.44,24.69,53.82
967.48,24.68,53.85
968.53,24.69,53.90
969.57,24.68,53.93
970.61,24.68,53.95
971.66,24.68,53.97
972.70,24.68,53.96
973.75,24.69,53.98
974.79,24.69,54.04
975.83,24.69,54.07
976.88,24.68,54.12
977.92,24.68,54.12
978.96,24.71,54.17
980.01,24.68,54.19
981.05,24.71,54.23
982.09,24.68,54.25
983.14,24.68,54.25
984.18,24.69,54.31
985.23,24.71,54.35
986.27,24.69,54.35
987.31,24.69,54.37
988.36,24.74,54.37
989.40,24.74,54.41
990.44,24.71,54.47
991.49,24.71,54.49
992.53,24.71,54.49
993.57,24.71,54.52
994.62,24.71,54.58
995.66,24.72,54.59
996.71,24.71,54.62
997.75,24.71,54.66
998.79,24.72,54.70
999.84,24.74,54.71
1000.88,24.72,54.76
1001.92,24.72,54.79
1002.97,24.71,54.80
1004.01,24.72,54.84
1005.05,24.72,54.85
1006.10,24.74,54.89
1007.14,24.74,54.89
1008.19,24.75,54.96
1009.23,24.75,55.01
1010.27,24.75,54.96
1011.32,24.75,55.04
1012.36,24.77,55.09
1013.40,24.74,55.09
1014.45,24.74,55.09
1015.49,24.75,55.13
1016.54,24.72,55.16
1017.58,24.72,55.20
1018.62,24.74,55.21
1019.67,24.75,55.25
1020.71,24.75,55.28
1021.75,24.72,55.31
1022.80,24.74,55.35
1023.84,24.74,55.36
1024.88,24.74,55.40
1025.93,24.74,55.42
1026.97,24.74,55.43
1028.02,24.75,55.49
1029.06,24.74,55.50
1030.10,24.77,55.54
1031.15,24.74,55.53
1032.19,24.74,55.55
1033.23,24.74,55.60
1034.28,24.78,55.65
1035.32,24.75,55.71
1036.36,24.74,55.73
1037.41,24.75,55.74
1038.45,24.74,55.77
1039.50,24.75,55.79
1040.54,24.77,55.80
1041.58,24.74,55.84
1042.63,24.77,55.87
1043.67,24.75,55.88
1044.71,24.75,55.90
1045.76,24.74,55.94
1046.80,24.74,55.97
1047.84,24.72,56.00
1048.89,24.75,56.00
1049.93,24.77,56.06
1050.98,24.75,56.08
1052.02,24.72,56.11
1053.06,24.77,56.13
1054.11,24.74,56.16
1055.15,24.78,56.17
1056.19,24.75,56.21
1057.24,24.75,56.23
1058.28,24.77,56.27
1059.32,24.78,56.29
1060.37,24.77,56.31
1061.41,24.79,56.32
1062.46,24.81,56.37
1063.50,24.79,56.40
1064.54,24.77,56.42
1065.59,24.78,56.44
1066.63,24.79,56.48
1067.67,24.78,56.50
1068.72,24.78,56.51
1069.76,24.77,56.56
1070.81,24.78,56.57
1071.85,24.77,56.63
1072.89,24.79,56.61
1073.94,24.75,56.64
1074.98,24.77,56.68
1076.02,24.78,56.70
1077.07,24.78,56.74
1078.11,24.75,56.73
1079.15,24.78,56.78
1080.20,24.79,56.82
1081.24,24.77,56.85
1082.29,24.78,56.86
1083.33,24.79,56.89
1084.37,24.78,56.91
1085.42,24.79,56.89
1086.46,24.78,56.95
1087.50,24.78,56.97
1088.55,24.79,56.97
1089.59,24.78,57.03
1090.64,24.77,57.07
1091.68,24.79,57.05
1092.72,24.81,57.04
1093.77,24.79,57.13
1094.81,24.79,57.13
1095.85,24.79,57.15
1096.90,24.79,57.20
1097.94,24.82,57.21
1098.98,24.81,57.25
1100.03,24.78,57.27
1101.07,24.81,57.28
1102.12,24.81,57.28
1103.16,24.79,57.35
1104.20,24.82,57.37
1105.25,24.79,57.36
1106.29,24.81,57.37
1107.33,24.82,57.47
1108.38,24.82,57.46
1109.42,24.79,57.48
1110.46,24.81,57.49
1111.51,24.81,57.51
1112.55,24.84,57.54
1113.60,24.82,57.56
1114.64,24.81,57.56
1115.68,24.82,57.59
1116.73,24.82,57.63
1117.77,24.84,57.65
1118.81,24.82,57.69
1119.86,24.82,57.70
1120.90,24.82,57.74
1121.95,24.84,57.75
1122.99,24.81,57.77
1124.03,24.82,57.75
1125.08,24.82,57.78
1126.12,24.82,57.82
1127.16,24.82,57.84
1128.21,24.84,57.85
1129.25,24.81,57.89
1130.29,24.84,57.89
1131.34,24.85,57.93
1132.38,24.84,57.98
1133.43,24.84,57.98
1134.47,24.84,58.04
1135.51,24.85,58.00
1136.56,24.81,58.03
1137.60,24.85,58.07
1138.64,24.85,58.08
1139.69,24.84,58.10
1140.73,24.82,58.15
1141.77,24.84,58.17
1142.82,24.84,58.16
1143.86,24.84,58.18
1144.91,24.85,58.20
1145.95,24.85,58.26
1146.99,24.85,58.27
1148.04,24.84,58.26
1149.08,24.87,58.30
1150.12,24.85,58.32
1151.17,24.87,58.34
1152.21,24.85,58.37
1153.26,24.87,58.37
1154.30,24.85,58.40
1155.34,24.82,58.41
1156.39,24.85,58.44
1157.43,24.84,58.49
1158.47,24.85,58.49
1159.52,24.82,58.47
1160.56,24.82,58.55
1161.60,24.84,58.53
1162.65,24.85,58.59
1163.69,24.85,58.56
1164.74,24.81,58.61
1165.78,24.85,58.58
1166.82,24.87,58.60
1167.87,24.85,58.68
1168.91,24.87,58.70
1169.95,24.85,58.68
1171.00,24.85,58.68
1172.04,24.85,58.72
1173.09,24.85,58.81
1174.13,24.84,58.78
1175.17,24.91,58.80
1176.22,24.87,58.79
1177.26,24.89,58.81
1178.30,24.91,58.84
1179.35,24.91,58.88
1180.39,24.89,58.90
1181.43,24.88,58.88
1182.48,24.92,58.94
1183.52,24.91,58.97
1184.57,24.94,58.97
1185.61,24.94,59.01
1186.65,24.96,59.00
1187.70,24.95,59.04
1188.74,24.96,59.08
1189.78,24.99,59.08
1190.83,25.01,59.10
1191.87,25.01,59.15
1192.91,25.05,59.17
1193.96,25.05,59.19
1195.00,25.08,59.20
1196.05,25.09,59.22
